verb_lemma,cluster
Kʋyʋʋ,10
Tiyinuu,3
cadʋʋ,1
calʋ,1
calʋʋ,9
canʋʋ,1
cazʋʋ,0
caɣnʋʋ,9
caɣzʋʋ,1
caɣʋ,8
caɣʋʋ,1
caʋ,5
ceyuu,1
ceɣuu,1
ciɣduu,1
cosuu,5
cozuu,1
coɖuu,1
cɔnʋʋ,8
cɔtʋʋ,1
cɔzʋʋ,1
cɔʋ,10
cɛbʋ,8
cɛlʋʋ,0
cɛtʋ,1
cɛtʋʋ,10
cɛyʋʋ,5
cɛzʋʋ,1
cɩbʋ,4
cɩdɩlʋʋ,1
cɩyʋʋ,10
falʋʋ,1
faɣʋ,10
fem,8
fezuu,10
feŋuu,1
fiɣnuu,1
fɛtʋʋ,1
fɛyʋʋ,1
fɛʋ,1
hadʋʋ,9
hayʋʋ,1
hazʋʋ,1
haɣʋ,1
haʋ,0
heyuu,0
hiu,5
holuu,9
hoyuu,1
hutuu,1
huu,1
huuzuu,9
huyuu,1
hɔkʋʋ,5
hɔm,5
hɔzʋʋ,5
hɔɔlʋʋ,1
hɔɔzʋʋ,5
hɔɔʋ,1
hɛnʋʋ,1
hɛyʋʋ,0
hɛzʋʋ,5
hɛʋ,1
hɩnʋʋ,1
hɩzʋʋ,1
hʋlɩsʋʋ,1
hʋlʋmʋʋ,8
hʋlʋʋ,9
hʋm,1
hʋʋ,5
kalʋʋ,5
kam,5
kasʋʋ,1
katʋʋ,5
kazʋʋ,4
kaɖɩnʋʋ,9
kaɖʋʋ,1
kaɣʋ,1
kaʋ,9
kem,9
kisi,1
kitinuu,3
kituu,1
kizinuu,1
kizuu,5
koluu,1
kotuu,1
kou,10
koyuu,5
kpadɩyʋʋ,10
kpalʋʋ,1
kpanʋʋ,5
kpazʋʋ,8
kpaɣʋ,8
kpaʋ,8
kpedesuu,1
kpem,2
kpendʋʋ,1
kpeɣlu,1
kpeɣluu,8
kpeɣu,5
kpibu,9
kpibuu,1
kpiyuu,9
kpiɖuu,1
kpɛdʋʋ,1
kpɛlɩkʋʋ,9
kpɛndɩnʋʋ,5
kpɛndʋʋ,5
kpɛyʋʋ,1
kpɛzɩnʋʋ,9
kpɛzʋʋ,10
kpɛʋ,1
kpɩtʋʋ,1
kuluu,2
kuu,9
kɔm,8
kɔnʋʋ,0
kɔzʋʋ,10
kɔʋ,5
kɛdɩnʋʋ,4
kɛdʋʋ,0
kɛnʋʋ,9
kɛzʋʋ,1
kɛʋ,8
kɩlʋʋ,4
kɩndʋʋ,9
kʋm,10
kʋndɩnʋʋ,9
kʋndʋʋ,10
kʋsʋʋ,5
kʋyʋʋ,8
kʋʋ,8
labɩnʋʋ,9
labʋ,6
layʋʋ,1
laɣzʋʋ,1
laʋ,0
lebu,1
lem,1
lesuu,5
leɖuu,1
libuu,1
limuu,1
liu,1
lizuu,10
liɣtuu,5
losuu,9
lou,1
luu,3
luzuu,1
luŋuu,2
lɔʋ,5
lɛkʋʋ,1
lɛyʋʋ,1
lɛzʋʋ,1
lɛɣzʋʋ,10
lɛʋ,1
lɩnʋʋ,2
lɩzʋʋ,0
lɩʋ,8
lʋbʋ,10
lʋbʋʋ,1
lʋlʋʋ,5
lʋʋ,9
mabʋ,5
malɩsʋʋ,1
malʋʋ,2
mayʋʋ,9
maɣnʋʋ,5
maɣzɩnʋʋ,9
maɣzʋʋ,5
maɣʋ,1
maʋ,0
muluu,9
mɛlʋʋ,1
mɛsʋʋ,1
mɩlʋʋ,10
mɩsʋʋ,1
mɩzʋʋ,5
mʋnʋʋ,8
mʋzʋʋ,1
mʋʋ,5
mʋʋzʋʋ,1
mʋʋʋ,2
mʋʋ́ʋ,10
nazʋʋ,9
naŋʋʋ,1
naʋ,6
nezuu,1
niɣzʋʋ,1
nuutuu,9
nɩnʋʋ,5
nɩzʋʋ,1
nɩɣzɩnʋʋ,9
nɩɣzʋʋ,1
nɩʋ,8
padʋʋ,1
palʋʋ,1
pam,9
pasʋʋ,1
pazʋʋ,0
paŋʋʋ,1
paɖʋʋ,9
paɣlʋʋ,1
paɣʋ,0
paʋ,1
peenduu,1
peɣzuu,9
pilimuu,1
pilisuu,1
pim,10
pisuu,1
piyuu,10
piyʋʋ,1
posuu,1
puu,9
puzuu,1
pɔzʋʋ,0
pɔʋ,9
pɛdʋʋ,9
pɛlʋʋ,9
pɛm,0
pɛɖʋʋ,1
pɩnʋʋ,1
pɩsɩnʋʋ,2
pɩsʋʋ,8
pɩyʋʋ,1
pɩzʋʋ,5
pɩʋ,10
pʋtʋʋ,1
pʋʋ,1
pʋʋtʋʋ,1
salʋʋ,9
sam,5
sazʋʋ,9
saʋ,1
seluu,1
seu,2
sezuu,1
seɣtuu,1
seʋ,1
siduu,1
sisuu,1
siu,1
siɣu,10
siɣʋ,9
sobuu,1
sulunuu,10
suluu,1
sum,10
susunuu,1
susuu,5
suu,8
suyuu,1
sɔbʋ,3
sɔm,10
sɔzʋʋ,9
sɔɔlʋʋ,5
sɔɔndʋʋ,10
sɔʋ,5
sɛtʋʋ,5
sɛɣʋ,4
sɛɣʋʋ,1
sɛʋ,8
sɩbʋ,8
sɩm,8
sɩnzʋʋ,1
sɩnʋʋ,4
sɩzʋʋ,1
sɩŋʋʋ,8
sɩɣlʋʋ,9
sɩɣzʋʋ,3
sɩʋ,5
sʋlʋmʋʋ,10
sʋnʋʋ,1
sʋzʋʋ,1
sʋʋ,8
sʋʋʋ,9
takʋʋ,4
talʋ,1
talʋʋ,8
tam,9
tanʋʋ,1
tasɩnʋʋ,9
tasʋʋ,0
tayʋʋ,5
taʋ,3
tenduu,0
teu,5
tibu,2
tiluu,1
tisuu,8
tituu,1
tiyinuu,0
tiyuu,0
tolisuu,1
tuduu,9
tukunuu,5
tuu,1
tuuluu,1
tuuu,3
tuzuu,5
tɔlʋʋ,2
tɔm,5
tɔnzʋʋ,10
tɔyɩtʋʋ,1
tɔzʋʋ,0
tɔɔlʋʋ,1
tɔɔʋ,8
tɔʋ,10
tɛm,0
tɛmnʋʋ,4
tɛzʋʋ,0
tɛŋɛlʋʋ,1
tɛɖʋʋ,9
tɩlʋʋ,5
tɩmʋʋ,1
tɩnʋʋ,5
tɩsʋʋ,1
tɩyʋʋ,1
tɩzʋʋ,3
tɩŋnʋʋ,7
tɩŋɩʋʋ,1
tɩŋʋʋ,8
tɩɣyʋʋ,9
tɩɣzɩnʋʋ,9
tʋlʋʋ,9
tʋʋ,10
tʋʋzʋʋ,2
wabʋ,5
wadʋʋ,1
walʋʋ,10
wanʋʋ,9
wasʋʋ,1
wazʋʋ,2
waʋ,1
welesinuu,9
welesuu,10
weʋ,1
wiluu,2
winuu,1
wiu,10
wobu,8
wonuu,8
wonʋʋ,1
woŋuu,9
wɛnʋʋ,8
wɛɛkʋʋ,5
wɛɛtʋʋ,9
wɛʋ,8
wɩlʋʋ,0
wɩzʋʋ,9
wɩʋ,5
yabʋ,4
yasʋʋ,9
yaɣʋ,9
yaʋ,0
yebu,6
yiluu,9
yoluu,1
yonuu,1
you,1
yozuu,1
yuu,1
yɔkʋʋ,10
yɔlɩsʋʋ,1
yɔɔdɩnʋʋ,5
yɔɔdʋʋ,8
yɛlʋʋ,1
yɛɖʋʋ,1
yɩɣyʋʋ,1
yʋlɩsʋʋ,1
yʋlʋmʋʋ,1
yʋsʋʋ,9
ñalɩzʋʋ,1
ñalʋʋ,2
ñam,5
ñamsʋʋ,1
ñasʋʋ,9
ñazʋʋ,9
ñaɣyʋʋ,1
ñaɣzʋʋ,1
ñaɣʋ,5
ñaʋ,1
ñɔkɔyɩnʋʋ,1
ñɔtɩnʋʋ,2
ñɔtʋʋ,1
ñɔzʋʋ,1
ñɔɔzʋʋ,0
ñɔʋ,5
ñɛyʋʋ,9
ñɩbʋ,9
ñɩkʋʋ,3
ñɩlɩsʋʋ,1
ñɩlɩzʋʋ,1
ñɩm,1
ñɩnʋʋ,5
ñɩtʋʋ,1
ñɩŋʋʋ,1
ñɩɣʋ,3
đɔkʋʋ,1
đɛʋ,10
Ɩɩʋ,1
ɖabʋ,1
ɖanʋʋ,1
ɖazʋʋ,10
ɖaŋʋʋ,0
ɖaɣlʋʋ,1
ɖaɣnʋʋ,0
ɖem,10
ɖenuu,1
ɖewuu,1
ɖezuu,5
ɖiyuu,1
ɖizuu,1
ɖiɣzinuu,0
ɖou,2
ɖozuu,1
ɖuu,5
ɖuuni,1
ɖuunuu,0
ɖuuu,1
ɖɔkʋʋ,8
ɖɔm,8
ɖɔɔnʋʋ,5
ɖɔʋ,10
ɖɔ́kʋʋ,1
ɖɛnʋʋ,1
ɖɛzʋʋ,1
ɖɛʋ,8
ɖɩkʋʋ,9
ɖɩŋʋʋ,1
ɖɩɣnʋʋ,1
ɖɩɣzʋ,1
ɖɩɣzʋʋ,9
ɖɩɣʋ,3
ɖʋnʋʋ,9
ɖʋzɩ,1
ɖʋzʋʋ,8
ɖʋʋ,0
